pl_name,hostname,sy_dist,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbeccen,pl_orbincl,st_teff,st_rad,st_mass,disc_year,discoverymethod,disc_facility
"HD 114783 b","HD 114783",21.06280000,493.70000000000,,349.60000000,,0.144000,,5135.00,,0.853000,2001,"Radial Velocity","W. M. Keck Observatory"
"HD 12661 c","HD 12661",37.84780000,1708.00000000000,,575.88400000,,0.031000,,5748.00,1.110000,1.020000,2002,"Radial Velocity","Multiple Observatories"
"HD 27894 c","HD 27894",43.82140000,36.07000000000,,51.48846000,,0.015000,,,,0.800000,2017,"Radial Velocity","La Silla Observatory"
"TOI-4010 b","TOI-4010",177.50400000,1.34833500000,3.02000000,11.00000000,1441.00,0.030000,88.10000,4960.00,0.830000,0.880000,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HD 12661 b","HD 12661",37.84780000,262.70862000000,,772.32690000,,0.380000,,5645.00,1.200000,1.200000,2000,"Radial Velocity","Multiple Observatories"
"HD 68988 b","HD 68988",60.84470000,6.27711000000,,626.12510000,,0.120000,,5932.00,1.190000,1.280000,2001,"Radial Velocity","Multiple Observatories"
"HD 24040 b","HD 24040",46.62240000,3668.00000000000,,1226.82380000,,0.040000,,5802.00,1.300000,1.110000,2006,"Radial Velocity","W. M. Keck Observatory"
"TOI-2384 b","TOI-2384",191.51000000,2.13570304000,11.48920522,624.85064816,889.70,0.000000,88.37000,3943.00,0.611300,0.635000,2024,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-28 b","HAT-P-28",401.31900000,3.25721500000,13.58500000,198.95300000,1384.00,0.051000,88.00000,5680.00,1.103000,1.025000,2011,"Transit","HATNet"
"NN Ser d","NN Ser",515.81800000,2880.00000000000,,696.04421133,,0.240000,,,,0.535000,2010,"Eclipse Timing Variations","Multiple Observatories"
"NGTS-10 b","NGTS-10",,0.76689440000,13.50684500,687.14846000,1332.00,0.000000,,4600.00,0.697000,0.696000,2020,"Transit","Next-Generation Transit Survey (NGTS)"
"HD 156279 c","HD 156279",36.19450000,4818.25358000000,,3098.82696825,,0.261000,74.69900,,,0.940000,2018,"Radial Velocity","W. M. Keck Observatory"
"HD 168443 b","HD 168443",39.62450000,58.11187000000,,2424.39508860,,0.530000,,,,0.980000,1998,"Radial Velocity","W. M. Keck Observatory"
"HD 72659 c","HD 72659",51.89490000,35500.00000000000,,6165.87109580,,0.114000,40.00000,5929.00,1.360000,1.033000,2022,"Radial Velocity","Multiple Observatories"
"HD 72659 b","HD 72659",51.89490000,3549.00000000000,,906.12878836,,0.239300,,5929.00,1.360000,1.033000,2002,"Radial Velocity","W. M. Keck Observatory"
"HD 24040 c","HD 24040",46.62240000,515.40000000000,,63.88350981,,0.110000,,5776.49,1.387296,1.103940,2021,"Radial Velocity","Multiple Observatories"
"HD 68988 c","HD 68988",60.84470000,16000.00000000000,,4767.42610500,,0.450000,,5883.41,1.255733,1.171665,2021,"Radial Velocity","Multiple Observatories"
"HD 62364 c","HD 62364",53.11200000,74839.94555000000,,7923.46218651,,0.773000,38.78900,,,1.190000,2022,"Radial Velocity","Multiple Observatories"
"HD 168443 c","HD 168443",39.62450000,1753.10960000000,,5500.33841154,,0.210000,91.21800,,,0.980000,2000,"Radial Velocity","W. M. Keck Observatory"
"HD 168863 b","HD 168863",39.89790000,14773.93272000000,,2154.87659946,,0.187000,129.83900,,,0.800000,2022,"Radial Velocity","Multiple Observatories"
"HD 181234 b","HD 181234",47.74580000,7593.40512000000,,2980.91262925,,0.726000,98.73200,,,0.940000,2019,"Radial Velocity","La Silla Observatory"
"HD 183263 b","HD 183263",54.19550000,624.87404000000,,1103.18240070,,0.383000,,,,1.060000,2004,"Radial Velocity","W. M. Keck Observatory"
"HD 183263 c","HD 183263",54.19550000,4667.97841000000,,2958.98246917,,0.051000,73.71800,,,1.060000,2008,"Radial Velocity","W. M. Keck Observatory"
"HD 66428 b","HD 66428",53.28170000,2269.81726000000,,3478.94974302,,0.471000,16.63900,,,1.010000,2005,"Radial Velocity","W. M. Keck Observatory"
"HD 3167 d","HD 3167",47.28990000,8.41120000000,,4.33000000,,0.120000,,5261.00,0.880000,0.837000,2017,"Radial Velocity","Multiple Observatories"
"HD 3167 e","HD 3167",47.28990000,96.63000000000,,8.41000000,,0.150000,,5261.00,0.880000,0.837000,2022,"Radial Velocity","CHaracterising ExOPlanets Satellite (CHEOPS)"
"HD 3167 b","HD 3167",47.28990000,0.95964100000,1.67000000,4.97000000,1774.00,0.000000,83.40000,5261.00,0.880000,0.837000,2016,"Transit","K2"
"BD-210397 b","BD-210397",23.73240000,1891.00000000000,,214.00000000,,0.100000,,4051.00,0.747000,0.679000,2023,"Radial Velocity","La Silla Observatory"
"HD 108202 b","HD 108202",38.68460000,2990.00000000000,,953.48522100,,0.520000,56.00000,,,0.740000,2023,"Radial Velocity","La Silla Observatory"
"BD-210397 c","BD-210397",23.73240000,6240.00000000000,,1525.57635360,,0.430000,33.00000,,,0.690000,2023,"Radial Velocity","La Silla Observatory"
"HD 16905 b","HD 16905",39.74010000,10256.00000000000,,3591.46099910,,0.680000,43.00000,,,0.850000,2022,"Radial Velocity","Multiple Observatories"
"HD 114783 c","HD 114783",21.06280000,4352.00000000000,,603.87397330,,0.050000,159.00000,,,0.900000,2018,"Radial Velocity","W. M. Keck Observatory"
"GJ 832 b","GJ 832",4.96435000,3853.00000000000,,314.65012293,,0.050000,51.00000,,,0.450000,2008,"Radial Velocity","Anglo-Australian Telescope"
"HIP 70849 b","HIP 70849",24.05720000,3649.00000000000,,1430.22783150,,0.650000,96.00000,,,0.650000,2009,"Radial Velocity","La Silla Observatory"
"HD 27894 b","HD 27894",43.82140000,18.01939000000,,196.73578393,,0.047000,,,,0.810000,2005,"Radial Velocity","La Silla Observatory"
"HD 27894 d","HD 27894",43.82140000,5019.54244000000,,2063.65984665,,0.343000,101.52400,,,0.810000,2017,"Radial Velocity","La Silla Observatory"
"HD 29985 b","HD 29985",31.27070000,20608.14049000000,,1739.47487151,,0.261000,52.65800,,,0.750000,2022,"Radial Velocity","Multiple Observatories"
"KOI-1257 b","KOI-1257",,86.64766100000,10.54000000,460.83000000,511.00,0.772000,89.66000,5520.00,1.130000,0.990000,2014,"Transit","Kepler"
"Kepler-634 b","Kepler-634",888.02700000,5.16950177000,1.89000000,,,,,6075.00,1.240000,1.030000,2016,"Transit","Kepler"
"Kepler-684 b","Kepler-684",1731.27000000,6.77030200800,3.36000000,,,,,5493.00,0.860000,0.890000,2016,"Transit","Kepler"
"Kepler-393 b","Kepler-393",881.40400000,9.18241700000,1.29000000,,,,,6189.00,1.382000,,2014,"Transit","Kepler"
"KMT-2018-BLG-1976L b","KMT-2018-BLG-1976L",5840.00000000,,,705.57906354,,,,,,0.650000,2021,"Microlensing","KMTNet"
"HD 331093 b","HD 331093",50.19280000,621.62000000000,,476.74261050,,0.590000,0.37040,5544.00,,1.030000,2021,"Radial Velocity","Haute-Provence Observatory"
"MOA-2012-BLG-505L b","MOA-2012-BLG-505L",7210.00000000,,,6.70000000,,,,,,0.100000,2017,"Microlensing","MOA"
"Kepler-690 b","Kepler-690",1665.31000000,7.74809437400,5.95000000,,,,,5913.00,1.160000,1.110000,2016,"Transit","Kepler"
"HD 202206 c","HD 202206",45.96650000,1260.00000000000,,5689.15700000,,0.220000,7.70000,5766.00,1.040000,1.070000,2004,"Radial Velocity","La Silla Observatory"
"TOI-1248 b","TOI-1248",168.73500000,4.36015610000,6.80848590,27.40000000,952.09,0.000000,,5205.00,0.868600,0.904200,2024,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4773 b","TOI-4773",492.88800000,1.74528510000,15.22179579,1687.66884117,2255.00,0.024000,78.64000,6740.00,1.550000,1.452000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-1898 b","Kepler-1898",360.92100000,4.76562023200,0.93353523,,,,,5702.00,1.125000,0.837000,2021,"Transit","Kepler"
"K2-240 b","K2-240",72.91050000,6.03400000000,2.00000000,,586.00,,89.26000,3810.00,0.540000,0.580000,2018,"Transit","K2"
"Kepler-1886 b","Kepler-1886",1059.51000000,24.27580070000,2.58158428,,,,,5745.00,0.837000,0.928000,2021,"Transit","Kepler"
"K2-24 c","K2-24",170.56200000,42.33910000000,7.50000000,15.40000000,,0.070000,,5625.00,1.160000,1.070000,2016,"Transit","K2"
"Kepler-1576 b","Kepler-1576",460.91000000,6.98471973000,1.04000000,,,,,5876.00,1.060000,1.050000,2016,"Transit","Kepler"
"Kepler-55 e","Kepler-55",578.79600000,4.61753400000,1.55000000,,,,,4503.00,0.619000,,2014,"Transit","Kepler"
"HIP 75092 b","HIP 75092",81.66960000,926.40000000000,,568.91284853,,0.420000,,4891.00,4.530000,1.280000,2021,"Radial Velocity","Multiple Observatories"
"Kepler-31 d","Kepler-31",1664.64000000,87.64510000000,3.90000000,2161.24400000,,,,6340.00,1.220000,1.210000,2014,"Transit","Kepler"
"Kepler-109 c","Kepler-109",474.86100000,21.22265000000,2.65000000,8.20000000,859.00,0.098000,89.63000,5950.00,1.387000,1.094000,2014,"Transit","Kepler"
"TRAPPIST-1 e","TRAPPIST-1",,6.10101300000,0.92000000,0.69200000,,,89.79300,2566.00,0.119200,0.089800,2017,"Transit","Multiple Observatories"
"Kepler-607 c","Kepler-607",519.12200000,39.67679977000,2.76001201,,,,,5244.00,0.888000,0.808000,2021,"Transit","Kepler"
"Kepler-1284 b","Kepler-1284",882.32400000,0.66407380600,1.21000000,,,,,5123.00,0.790000,0.840000,2016,"Transit","Kepler"
"HIP 38594 c","HIP 38594",17.78860000,3477.76800000000,,48.40000000,,0.160000,,,,0.610000,2020,"Radial Velocity","Multiple Observatories"
"TOI-4734 b","TOI-4734",563.06800000,6.23563300000,10.91754720,61.65871096,1468.00,0.120000,89.20000,6070.00,1.857000,1.391000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-263 b","Kepler-263",754.74700000,16.56808700000,2.67000000,,,,,5265.00,0.785000,,2014,"Transit","Kepler"
"Kepler-1026 b","Kepler-1026",351.23900000,36.51560530000,2.21000000,,,,,4948.00,0.750000,0.790000,2016,"Transit","Kepler"
"Kepler-594 b","Kepler-594",769.20000000,13.64618192000,2.18000000,,,,,5485.00,0.870000,0.910000,2016,"Transit","Kepler"
"TOI-1386 b","TOI-1386",146.85800000,25.84010000000,6.21638650,45.80000000,615.03,0.000000,,5735.00,1.023500,1.036300,2024,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-371 b","Kepler-371",813.19200000,34.76327800000,1.89000000,,,,,5666.00,0.992000,,2014,"Transit","Kepler"
"HD 154391 b","HD 154391",100.94700000,5163.00000000000,,2892.23850370,,0.200000,47.00000,4909.00,8.560000,2.070000,2023,"Radial Velocity","Multiple Observatories"
"Kepler-340 c","Kepler-340",808.76200000,22.82466900000,3.37000000,,,,,6620.00,1.850000,,2014,"Transit","Kepler"
"Kepler-229 c","Kepler-229",826.26500000,16.06863800000,4.92000000,,,,,5120.00,0.728000,,2014,"Transit","Kepler"
"Kepler-33 c","Kepler-33",1209.16000000,13.17562000000,3.20000000,,,0.000000,88.19000,5904.00,1.820000,1.291000,2011,"Transit","Kepler"
"Kepler-1266 b","Kepler-1266",849.31200000,28.47474800000,2.58000000,,,,,5044.00,0.760000,0.800000,2016,"Transit","Kepler"
"Kepler-1637 b","Kepler-1637",567.18700000,6.10960324000,0.89000000,,,,,5789.00,1.020000,1.020000,2016,"Transit","Kepler"
"Kepler-879 b","Kepler-879",802.67200000,33.38559380000,2.57000000,,,,,5792.00,1.020000,1.020000,2016,"Transit","Kepler"
"Kepler-1463 b","Kepler-1463",1687.47000000,25.15864000000,1.86000000,,,,,5679.00,0.950000,0.960000,2016,"Transit","Kepler"
"Kepler-778 b","Kepler-778",938.16800000,3.75574426000,1.68000000,,,,,5102.00,0.770000,0.810000,2016,"Transit","Kepler"
"HD 75289 b","HD 75289",29.11580000,3.50927000000,,155.73670000,,0.030000,,6117.00,1.230000,1.290000,1999,"Radial Velocity","La Silla Observatory"
"Kepler-357 c","Kepler-357",688.57300000,16.85837000000,2.67000000,,,,,5036.00,0.834000,,2014,"Transit","Kepler"
"EPIC 212424622 b","EPIC 212424622",611.80400000,18.09830000000,2.17000000,,,,,,,1.106000,2019,"Transit","K2"
"Kepler-341 c","Kepler-341",1047.03000000,8.01041000000,1.70000000,,,,,6012.00,1.024000,,2014,"Transit","Kepler"
"BD-13 2130 b","BD-13 2130",925.21400000,714.29999000000,,3108.37740000,,0.210000,,4545.00,19.170000,2.120000,2007,"Radial Velocity","La Silla Observatory"
"eps CrB b","eps CrB",69.86830000,417.90000000000,,2129.46100000,,0.110000,,4406.00,21.000000,1.700000,2012,"Radial Velocity","Bohyunsan Optical Astronomical Observatory"
"Kepler-1342 b","Kepler-1342",890.72400000,2.21571035800,1.66000000,,,,,5527.00,0.900000,0.930000,2016,"Transit","Kepler"
"Kepler-52 d","Kepler-52",321.54200000,36.44517100000,1.95000000,,,,,4263.00,0.556000,,2014,"Transit","Kepler"
"Kepler-321 c","Kepler-321",384.54200000,13.09392100000,2.32000000,,,,,5740.00,1.194000,,2014,"Transit","Kepler"
"Kepler-780 b","Kepler-780",557.65200000,0.67737516400,0.89000000,,,,,5769.00,1.020000,1.010000,2016,"Transit","Kepler"
"HIP 41378 b","HIP 41378",106.28900000,15.57208000000,2.59500000,6.89000000,959.00,,,6320.00,1.273000,1.160000,2016,"Transit","K2"
"Kepler-816 b","Kepler-816",983.69700000,10.50682564600,10.24000000,,,,,5286.00,0.850000,0.900000,2016,"Transit","Kepler"
"GJ 328 b","GJ 328",20.52660000,3771.00000000000,,797.74930157,,0.227000,,3897.00,0.630000,0.650000,2013,"Radial Velocity","McDonald Observatory"
"GJ 667 C f","GJ 667 C",7.24396000,39.02600000000,,2.70000000,,0.030000,,3350.00,,0.330000,2013,"Radial Velocity","La Silla Observatory"
"Kepler-910 b","Kepler-910",400.28900000,2.36436901500,0.82000000,,,,,6230.00,1.500000,1.260000,2016,"Transit","Kepler"
"K2-391 b","K2-391",507.94000000,4.62265400000,1.37100000,,,,,5543.00,0.566000,0.757000,2022,"Transit","K2"
"Kepler-198 d","Kepler-198",495.35800000,1.31184443000,1.53000000,,,,,5636.00,0.930000,0.970000,2016,"Transit","Kepler"
"G 192-15 b","G 192-15",9.53114000,2.27476000000,,1.03000000,453.60,0.000000,,,,0.132000,2025,"Radial Velocity","Calar Alto Observatory"
"K2-368 d","K2-368",206.60800000,20.20108500000,1.94800000,,,,,4663.00,0.663000,0.746000,2022,"Transit","K2"
"CoRoT-23 b","CoRoT-23",1060.97000000,3.63130000000,11.77000000,889.90000000,1660.00,0.160000,85.70000,5900.00,1.610000,1.140000,2011,"Transit","CoRoT"
"Kepler-327 d","Kepler-327",241.98700000,13.96945700000,1.73000000,,,,,3799.00,0.492000,,2014,"Transit","Kepler"
"Kepler-733 b","Kepler-733",916.70600000,20.83424726000,2.82000000,,,,,5418.00,0.860000,0.900000,2016,"Transit","Kepler"
"Kepler-769 b","Kepler-769",1169.57000000,7.42608998000,2.92000000,,,,,6186.00,1.280000,1.190000,2016,"Transit","Kepler"
"Kepler-913 b","Kepler-913",991.61800000,10.29672521000,2.06000000,,,,,4687.00,0.610000,0.630000,2016,"Transit","Kepler"
"HD 62549 b","HD 62549",49.33050000,14306.88519000000,,2707.58019923,,0.150000,162.31300,,,1.080000,2022,"Radial Velocity","Multiple Observatories"
"MOA-2007-BLG-192L b","MOA-2007-BLG-192L",1000.00000000,,,3.30000000,,,,,,0.060000,2008,"Microlensing","MOA"
"K2-104 b","K2-104",189.28900000,1.97419540000,1.79000000,,798.00,,,3712.00,0.480000,0.510000,2016,"Transit","K2"
"Kepler-1092 b","Kepler-1092",981.23300000,58.60179250000,2.07000000,,,,,5862.00,1.000000,0.990000,2016,"Transit","Kepler"
"Kepler-33 f","Kepler-33",1209.16000000,41.02902000000,4.46000000,,,0.000000,89.17000,5904.00,1.820000,1.291000,2011,"Transit","Kepler"
"Kepler-1263 b","Kepler-1263",664.83000000,4.55139967000,1.14000000,,,,,5213.00,0.800000,0.840000,2016,"Transit","Kepler"
"iot Dra c","iot Dra",31.32832000,25000.00000000000,,4958.12314920,,0.455000,86.00000,4504.00,11.790000,1.540000,2022,"Radial Velocity","La Silla Observatory"
"Kepler-1497 b","Kepler-1497",,8.74199772000,1.66000000,,,,,5675.00,0.950000,0.960000,2016,"Transit","Kepler"
"Kepler-391 b","Kepler-391",869.23600000,7.41750000000,2.50000000,1100.00000000,930.00,0.460000,85.50000,5038.00,2.879000,1.270000,2014,"Transit","Kepler"
"Kepler-338 b","Kepler-338",552.79800000,13.72697600000,2.44000000,,,,,5923.00,1.735000,,2014,"Transit","Kepler"
"Kepler-520 c","Kepler-520",623.90100000,5.21104261000,1.07000000,,,,,6112.00,1.090000,1.100000,2016,"Transit","Kepler"
"Kepler-446 c","Kepler-446",96.33900000,3.03617900000,1.11000000,,,0.000000,88.97000,3359.00,0.240000,0.220000,2015,"Transit","Kepler"
"HD 184010 c","HD 184010",60.79930000,484.30000000000,,95.34852210,,0.000000,,4971.00,4.860000,1.350000,2022,"Radial Velocity","Okayama Astrophysical Observatory"
"HD 45364 b","HD 45364",34.35400000,225.79000000000,,60.16491745,,0.067000,,5466.00,0.890000,0.820000,2008,"Radial Velocity","La Silla Observatory"
"GJ 163 d","GJ 163",15.12850000,603.95116000000,,29.40000000,,0.373000,,,,,2013,"Radial Velocity","La Silla Observatory"
"Kepler-347 c","Kepler-347",1298.88000000,27.32087100000,1.75000000,,,,,6088.00,1.005000,,2014,"Transit","Kepler"
"HD 81817 b","HD 81817",269.12600000,1021.20159000000,,7668.56380410,,0.097000,95.59400,,,4.300000,2020,"Radial Velocity","Bohyunsan Optical Astronomical Observatory"
"CoRoT-28 b","CoRoT-28",766.18300000,5.20851000000,10.70459500,153.82972000,,0.047000,88.10000,5150.00,1.780000,1.010000,2015,"Transit","CoRoT"
"Kepler-1050 c","Kepler-1050",490.48800000,21.12845690000,1.48000000,,,,,6010.00,1.130000,1.090000,2016,"Transit","Kepler"
"Kepler-1078 b","Kepler-1078",2481.71000000,3.00725242000,1.90000000,,,,,5612.00,0.920000,0.940000,2016,"Transit","Kepler"
"GJ 896 A b","GJ 896 A",6.26022000,284.39000000000,,718.29219982,,0.350000,69.20000,,,0.435990,2022,"Astrometry","Very Long Baseline Array"
"OGLE-2008-BLG-092L b","OGLE-2008-BLG-092L",8100.00000000,,,57.00000000,,,,,,0.710000,2014,"Microlensing","OGLE"
"Kepler-1740 b","Kepler-1740",1061.77000000,8.17240047500,3.32321414,,,,,5705.00,0.905000,0.943000,2021,"Transit","Kepler"
"HD 180053 b","HD 180053",137.04300000,213.72000000000,,697.31902000,,0.081000,,5131.00,4.060000,1.750000,2018,"Radial Velocity","W. M. Keck Observatory"
"OGLE-2012-BLG-0358L b","OGLE-2012-BLG-0358L",1760.00000000,,,588.00000000,,,,,,0.022000,2013,"Microlensing","OGLE"
"KOI-3503 c","KOI-3503",887.06400000,31.82800000000,1.21000000,10.36000000,686.00,,,6001.00,1.255000,0.858000,2021,"Transit","Kepler"
"HD 47536 b","HD 47536",122.53600000,712.13000000000,,2330.00000000,,0.200000,,4380.00,23.470000,2.100000,2002,"Radial Velocity","La Silla Observatory"
"KOI-984 c","KOI-984",252.66700000,21.51200000000,,209.80000000,597.00,0.380000,,5295.00,0.818000,0.928000,2022,"Transit Timing Variations","Kepler"
"Kepler-464 b","Kepler-464",667.60400000,7.25696522400,3.30000000,,,,,5933.00,1.590000,1.210000,2016,"Transit","Kepler"
"Kepler-342 e","Kepler-342",781.61100000,1.64422461300,0.88000000,,,,,6366.00,1.340000,1.260000,2016,"Transit","Kepler"
"Kepler-520 b","Kepler-520",623.90100000,19.67416124000,1.66000000,,,,,6112.00,1.090000,1.100000,2016,"Transit","Kepler"
"Kepler-374 d","Kepler-374",1265.61000000,5.02821900000,1.31000000,,,,,5977.00,0.911000,,2014,"Transit","Kepler"
"Kepler-1292 b","Kepler-1292",1493.43000000,3.27646405000,1.82000000,,,,,5556.00,0.930000,0.950000,2016,"Transit","Kepler"
"GJ 3138 c","GJ 3138",28.47120000,5.97400000000,,4.18000000,,0.110000,,3717.00,0.500000,0.681000,2017,"Radial Velocity","La Silla Observatory"
"KMT-2022-BLG-0303L b","KMT-2022-BLG-0303L",6570.00000000,,,163.04597279,,,,,,0.368000,2024,"Microlensing","KMTNet"
"Kepler-223 d","Kepler-223",1859.71000000,14.78869000000,5.24000000,8.00000000,,0.037000,87.94000,,1.720000,1.125000,2014,"Transit","Kepler"
"Kepler-1366 b","Kepler-1366",465.82600000,2.16457096800,1.43000000,,,,,4070.00,0.600000,0.620000,2016,"Transit","Kepler"
"HIP 948 b","HIP 948",34.85230000,24955.45756000000,,6547.26518420,,0.230000,110.99800,,,0.710000,2022,"Radial Velocity","Multiple Observatories"
"NGTS-34 b","NGTS-34",120.47500000,43.12655000000,3.65000000,19.10000000,624.00,,88.87400,6134.00,1.367000,1.266000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"KMT-2024-BLG-1005L b","KMT-2024-BLG-1005L",6950.00000000,,,6674.39654700,,,,,,0.055000,2025,"Microlensing","KMTNet"
"HIP 54515 b","HIP 54515",82.81010000,33000.00000000000,,5625.56280390,,0.420000,129.60000,8100.00,,1.900000,2026,"Imaging","Subaru Telescope"
"NN Ser c","NN Ser",515.81800000,6987.00000000000,,3086.11383197,,0.089000,,,,0.535000,2010,"Eclipse Timing Variations","Multiple Observatories"
"Kepler-17 b","Kepler-17",720.75300000,1.48571080000,14.68000000,778.65000000,1570.00,0.011000,87.20000,5781.00,1.010340,1.040000,2011,"Transit","Kepler"
"KELT-1 b","KELT-1",268.43000000,1.21751400000,12.44200000,8654.15000000,,0.009900,87.80000,6516.00,1.471000,1.335000,2012,"Transit","KELT"
"HAT-P-38 b","HAT-P-38",255.20600000,4.64038200000,9.24700000,84.85700000,1082.00,0.067000,88.30000,5330.00,0.923000,0.886000,2012,"Transit","HATNet"
"Kepler-1241 b","Kepler-1241",968.72200000,18.55257010000,2.63000000,,,,,5261.00,0.800000,0.840000,2016,"Transit","Kepler"
"Kepler-694 b","Kepler-694",1023.06000000,6.36584161200,2.80000000,,,,,5700.00,0.950000,0.970000,2016,"Transit","Kepler"
"GJ 2126 b","GJ 2126",38.12900000,272.70000000000,,413.17692910,,0.850000,,4159.00,0.728000,0.650000,2025,"Radial Velocity","La Silla Observatory"
"HS Psc b","HS Psc",37.66040000,3.98600000000,,464.02947422,,0.270000,,4203.00,0.650000,0.690000,2024,"Radial Velocity","McDonald Observatory"
"HD 134606 f","HD 134606",26.79090000,26.91500000000,,5.63000000,,0.081000,,5576.00,1.158000,1.046000,2024,"Radial Velocity","Multiple Observatories"
"Kepler-1228 b","Kepler-1228",515.45300000,0.57736957900,1.54000000,,,,,5063.00,0.740000,0.780000,2016,"Transit","Kepler"
"Kepler-1859 c","Kepler-1859",1331.25000000,3.59645081000,1.66000000,,1327.00,0.000000,83.31000,5887.00,1.235000,1.090000,2023,"Transit","Kepler"
"TOI-2285 b","TOI-2285",42.40900000,13.63510900000,1.77000000,,358.00,,,3491.00,0.464000,0.454000,2021,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4184 b","TOI-4184",69.36490000,4.90198040000,2.43000000,,412.00,,89.43000,3238.00,0.234700,0.210900,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-7041 b","TOI-7041",439.52000000,9.69100000000,11.43316031,114.41822652,,0.040000,,4700.00,4.100000,1.070000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HD 202772 A b","HD 202772 A",161.49800000,3.30895800000,17.31790500,323.23311000,2132.00,0.038000,84.51000,6272.00,2.591000,1.720000,2019,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HAT-P-32 b","HAT-P-32",289.20500000,2.15000820000,22.19382000,216.12440000,1835.70,0.159000,88.98000,6001.00,1.367000,1.132000,2011,"Transit","HATNet"
"WASP-33 b","WASP-33",121.94400000,1.21987000000,17.85593700,665.21819000,2781.70,,86.63000,7430.00,1.444000,1.495000,2010,"Transit","SuperWASP"
"Kepler-6 b","Kepler-6",587.03900000,3.23469960000,14.61653600,212.31044000,1460.00,,88.93000,5647.00,1.391000,1.209000,2009,"Transit","Kepler"
"Kepler-100 d","Kepler-100",304.64500000,35.33310000000,1.61000000,3.00000000,,,,5825.00,1.490000,1.080000,2014,"Transit","Kepler"
"WASP-39 b","WASP-39",213.98200000,4.05529410000,14.33631100,89.31023000,1166.00,,87.32000,5485.00,0.939000,0.913000,2011,"Transit","SuperWASP"
"TOI-1669 b","TOI-1669",111.27600000,500.00000000000,,191.00000000,,0.000000,,5497.00,1.056100,0.986700,2023,"Radial Velocity","W. M. Keck Observatory"
"WASP-139 b","WASP-139",212.47200000,5.92426200000,8.96720000,37.18611000,910.00,0.000000,88.90000,5310.00,0.800000,0.920000,2016,"Transit","SuperWASP-South"
"TOI-1246 e","TOI-1246",169.42200000,37.92548000000,3.51418750,14.50000000,463.98,0.000000,,5213.00,0.864900,0.888900,2022,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-6894 b","TOI-6894",73.81310000,3.37077196000,9.58367850,53.39517238,417.90,0.029000,89.58000,3007.00,0.227600,0.207000,2025,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-700 e","TOI-700",31.12650000,27.80978000000,0.95300000,,,0.059000,89.60000,3459.00,0.421000,0.415000,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"K2-3 b","K2-3",44.07270000,10.05465350000,2.07800000,5.11000000,501.30,0.107000,89.40000,3844.00,0.546000,0.549000,2015,"Transit","K2"
"K2-133 b","K2-133",75.17030000,3.07133000000,1.34000000,,,,87.60000,3655.00,0.455000,0.461000,2017,"Transit","K2"
"WASP-36 b","WASP-36",386.34600000,1.53736596000,14.87434300,750.39663000,1733.00,,83.15000,5959.00,0.985000,1.081000,2011,"Transit","SuperWASP"
"WASP-104 b","WASP-104",185.93200000,1.75541370000,12.74500000,404.26300000,1516.00,0.000000,83.63000,5475.00,0.963000,1.076000,2014,"Transit","SuperWASP"
"HAT-P-35 b","HAT-P-35",506.96500000,3.64670600000,14.93038800,335.62848000,,0.020000,87.30000,6096.00,1.435000,1.236000,2011,"Transit","HATNet"
"Kepler-1208 b","Kepler-1208",825.17600000,11.08507637000,2.32000000,,,,,5001.00,0.760000,0.800000,2016,"Transit","Kepler"
"HD 114082 b","HD 114082",95.39060000,109.75000000000,11.20898070,2542.62725600,,0.395000,90.00000,6651.00,1.490000,1.470000,2022,"Radial Velocity","La Silla Observatory"
"TOI-451 b","TOI-451",123.73900000,1.85870300000,1.91000000,,1491.00,0.000000,88.20000,5550.00,0.879000,0.950000,2020,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"HD 20794 e","HD 20794",6.00278000,147.02000000000,,4.77000000,,0.290000,,,,0.813000,2017,"Radial Velocity","La Silla Observatory"
"TOI-2134 b","TOI-2134",22.62020000,9.22920050000,2.69000000,9.13000000,666.00,0.060000,89.49000,4580.00,0.709000,0.744000,2023,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-5938 b","TOI-5938",114.03500000,2.26042400000,3.82000000,,1077.00,,88.85000,4650.00,0.712000,0.744000,2026,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
"TOI-7009 b","TOI-7009",184.12000000,2.32066120000,3.71000000,,872.00,,86.10000,4080.00,0.564000,0.583000,2026,"Transit","Transiting Exoplanet Survey Satellite (TESS)"
